"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1529010316.68109","1522773855.35289","1592835027.19021","1624474570.00364","1704910487.95891","1825517855.36111","1927111079.64083","2030670917.14528","2150765421.33491","2322481930.82955","2400402785.50963","2600811321.47638","2886699832.15725","3112535088.29575","3299559298.76063","3540006412.38459","3787797589.79803","4483269577.18031","4698442334.64709","5015508904.3698","5614656381.87508","6062852898.98342","6373174013.78458","6508283558.72915","6884234277.35022","7341501096.72828","7938147353.08061","8307416844.22731","8561219214.89645","9053931934.37313","8141626867.51881","",
"Botswana","BWA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10849591104.0297","11658830544.3553","11998926828.2994","12228839122.184","12672491135.8725","13563419252.981","14354139479.2281","15549249471.6769","15618235813.0494","17128088268.674","17468542569.1262","17512314171.7018","18575229485.9931","19434500059.372","19960362986.385","20869885999.5911","22615416356.8353","24487240949.6003","26016576245.0121","24025707126.6647","26083179980.2098","27660784984.2901","28893389524.891","32170881397.1777","33505735636.1573","31589984034.073","33812938657.2719","35166622661.948","36566393289.3525","37660729503.208","34462243851.1167","",
"Central African Republic","CAF","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3372788348.74427","3354152242.6464","3138678879.64974","3149202106.75233","3303511416.80188","3541365743.80946","3399707821.8743","3579890161.24144","3748150095.8242","3883082558.65022","3786415841.75199","3955469427.54081","4098520648.25994","3877303602.09053","4109743464.20343","4147068586.47959","4344928771.59951","4545122879.15504","4638485655.47693","5036804498.5544","5270049769.669","5491108085.5972","5768615578.41872","3669302318.2265","3672277040.52477","3831548140.33666","4013558816.92666","4195263790.82987","4354240945.75063","4484868174.12315","4522048179.92178","",
"Canada","CAN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017832646689.4","1046296769028.71","1087839800573.38","1141337180995.62","1157378989954.92","1196986190747.38","1242604413593.63","1291240307990.48","1355748877266.02","1412226902975.83","1509227245114.99","1524434561362.8","1479793017124.4","1525511142773.05","1573517168753.84","1601246043121.22","1638541025091.36","1685567743622.64","1696678616208.21","1713669061092.82","1765762548007.76","1814798490049.67","1848909297787.49","1752155424897.43","",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1549039453808.31","1396435207733.49","1363738231452.52","1384479440093.21","1440636528880.43","1522500750087.15","1591557261701.62","1619869400965.78","1661316856819.18","1690171110811.91","1756734957625.69","1811411392178.61","1877942862775.14","1953383840105.82","2070559929381.11","2173530850197.18","2316857523012.65","2465007833666.16","2567975925195.32","2481351346930.17","2518252476036.93","2595332239411.89","2616782689237.51","2651634862843.73","2731191538642.31","2837906344806.81","2927027742784.87","3072061486735.75","3210351101269.49","3342578189916.4","3216072267905.91","",
"Switzerland","CHE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","378279917978.058","374815567735.6","374651649959.019","374179649807.356","378930824842.285","380752976519.292","382633553112.703","391316151711.763","403311288487.415","410351225770.872","426668469804.642","433391985204.885","433368120637.621","433165103391.495","445386978569.679","458225874794.251","476623678527.377","495668236880.128","509326431830.756","498734310157.196","515033454406.668","524924393704.964","531313740128.351","540992511400.501","554229760464.812","563417608022.354","574940548707.09","584052319305.968","601088571184.345","608367706939.274","593810526018.962","",
"Channel Islands","CHI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130750312173.08","140954579320.022","156694565230.221","167018831401.185","175420209280.243","191091015590.06","204090778002.618","219250416100.821","228732074642.364","227789478529.794","239923683776.487","247848476565.559","255549055697.102","266003689423.376","285181331040.928","301558811470.241","320608813369.181","336335716051.999","348206787911.504","342759999991.724","362791502090.299","384961396302.039","405436060916.627","421835967006.943","429288710857.754","439178522668.296","446693259327.814","451984540685.83","468770610029.162","473186454051.158","445876489959.113","",
"China","CHN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1616385775698.94","1766108132395.14","2017328706335.29","2297409163056.5","2596917953189.27","2881383160103.41","3167290039416.23","3459845648886.52","3731303470424.21","4017182938755.54","4358245522535.81","4721537253617.51","5152785033972.09","5670023166308.18","6243467841396.09","6954885516694.85","7839613419837.17","8955257903305.3","9819501089971.55","10742409055886.5","11884957832311.2","13020070209403.8","14043934216102.1","15134607226924.2","16258467389928.8","17403279549482.5","18595188781703.6","19887033884256.7","21229363693432.1","22492450166618.6","23020463487123.1","",
"Cote d'Ivoire","CIV","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50937874483.5361","50958720894.4668","50834095934.7633","50736247874.4255","51147823708.8255","54792487058.2528","59027577785.5231","64723054350.8132","67482784509.39","68270214117.6775","68088759081.5499","66622118706.2109","64802984117.4592","61740481544.7073","63706939484.2774","64341502369.3108","66153087938.1135","66881717738.8792","70080446900.6494","72605670757.4838","77577742958.5092","73411471202.1778","79005727588.8111","87506912263.6654","95708060030.4269","102593384623.837","109958776919.581","118051344947.092","126185418257.144","134048926970.757","136674050645.084","",
"Cameroon","CMR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39814637090.9887","38298257072.5975","37111009873.6701","34167339863.9969","34808595650.7762","35815956888.3623","37325625312.2515","39015473485.3521","40859163281.0246","42702444438.9532","44338980518.6693","46256313846.2433","48327221427.227","50962579086.1494","54554861376.9753","55770491098.9665","57895114398.9076","60400577008.6343","62120590885.0771","63722837328.3134","65570178137.3103","67785932998.2963","70921695833.5555","74464609829.3129","78723850093.2084","83185093670.7385","86958198354.4153","90037541682.2009","93598989465.1162","96851610488.4449","97328037838.4581","",
